date,product_name,product_category,sales,profit,quantity,rating,returned,stock,payment_method
2024-04-24,Kazi Farms Chicken,Frozen Food,12297.81,2319.35,4,3.6,0,373,Mastercard
2025-04-04,Fresh Soybean Oil,Groceries,12740.93,2140.62,1,4.8,0,208,Nagad
2024-10-07,Square Toiletries Lotion,Personal Care,123626.99,12234.63,18,3.0,1,356,Mastercard
2024-05-04,Walton Fridge,Electronics,44378.48,10453.46,20,4.7,0,224,Mastercard
2024-12-31,Fresh Milk,Dairy,87431.99,11958.03,17,3.4,0,297,Visa Card
2024-02-25,RFL Chair,Furniture,41097.34,12900.01,9,3.9,0,415,bKash
2024-09-16,Bashundhara Tissue,Household,62815.98,13071.85,9,2.8,0,446,Cash
2025-02-03,Bashundhara Tissue,Household,2696.0,473.14,1,2.6,1,191,Visa Card
2024-12-13,Lux Soap,Personal Care,36478.51,4826.17,12,3.9,0,308,Mastercard
2024-11-24,Kazi Farms Chicken,Frozen Food,17724.69,1994.73,11,4.9,1,45,Mastercard
2025-04-27,Square Toiletries Lotion,Personal Care,31252.09,6397.49,19,4.8,0,425,Visa Card
2024-04-11,Sunsilk Shampoo,Personal Care,173852.97,47344.8,16,4.6,0,372,Mastercard
2024-10-28,Sunsilk Shampoo,Personal Care,11172.97,3731.36,1,4.1,0,269,Visa Card
2025-01-24,Bata School Shoe,Fashion,39713.63,8529.37,5,4.4,0,278,Cash
2024-01-26,Akij Cement,Construction,214864.54,60536.48,20,4.3,1,85,Visa Card
2024-06-25,Akij Cement,Construction,39926.32,5099.11,19,4.0,0,116,Rocket
2024-09-04,Dettol Handwash,Personal Care,43829.21,5193.68,16,4.6,1,475,Cash
2024-06-14,Fresh Soybean Oil,Groceries,110865.62,38077.12,10,3.1,1,265,bKash
2025-03-13,Navana Helmet,Automotive,119768.79,10504.22,8,2.9,0,439,bKash
2024-11-05,Lux Soap,Personal Care,80091.93,25416.76,6,3.4,0,93,Visa Card
2024-11-29,ACI Salt,Groceries,16301.0,2522.96,3,2.6,0,396,Cash
2024-03-16,Bashundhara Tissue,Household,22826.09,5160.96,5,3.6,1,90,Cash
2025-03-09,Pran Mango Juice,Beverages,2480.09,386.84,9,4.4,0,320,Visa Card
2025-04-09,Pran Noodles,Groceries,34434.53,8823.27,14,2.6,1,497,Mastercard
2025-04-09,Fresh Milk,Dairy,281681.3,84594.84,20,3.3,1,104,Rocket
2024-11-09,Olympic Biscuit,Snacks,93527.5,16480.64,6,2.5,0,247,Cash
2024-04-01,Square Toiletries Lotion,Personal Care,94548.83,27246.48,13,4.3,0,220,Nagad
2024-09-13,Akij Cement,Construction,294543.1,95303.28,20,4.3,0,447,Cash
2024-06-11,Akij Cement,Construction,22191.33,6322.84,10,4.1,1,471,bKash
2024-04-15,Kazi Farms Chicken,Frozen Food,242136.34,29630.9,14,3.8,0,248,Visa Card
2025-02-03,Lux Soap,Personal Care,174348.79,26860.01,16,3.0,0,96,Rocket
2024-10-21,Olympic Biscuit,Snacks,50348.2,15000.67,3,3.4,0,255,bKash
2024-08-23,Dettol Handwash,Personal Care,80274.98,17867.13,14,3.9,0,241,Mastercard
2025-04-29,Akij Cement,Construction,15391.91,1514.26,8,3.3,0,160,Cash
2025-03-15,Fresh Milk,Dairy,190468.44,63897.61,13,3.3,0,187,Rocket
2025-01-10,Square Toiletries Lotion,Personal Care,284529.3,29371.81,20,4.2,0,367,Rocket
2025-01-19,Singer Rice Cooker,Electronics,20501.16,4840.1,2,3.2,0,242,Cash
2024-05-19,Akij Cement,Construction,21381.44,7418.98,5,4.5,0,285,Visa Card
2024-02-06,Easy Fashion Shirt,Fashion,62121.61,7922.43,6,2.8,1,365,Rocket
2024-09-06,Pran Mango Juice,Beverages,83414.23,13705.92,6,4.9,0,472,bKash
2025-04-13,Olympic Biscuit,Snacks,70988.19,24686.56,6,4.6,0,248,Cash
2025-03-29,Navana Helmet,Automotive,2187.33,198.4,4,4.2,0,132,Nagad
2025-01-18,Kazi Farms Chicken,Frozen Food,46554.89,4071.6,4,3.2,0,416,Nagad
2024-01-05,Navana Helmet,Automotive,98660.94,26771.47,7,4.4,0,321,Visa Card
2024-09-24,Pran Noodles,Groceries,44066.25,14185.2,3,3.4,0,237,Mastercard
2024-04-06,Easy Fashion Shirt,Fashion,16476.69,5423.52,3,2.9,0,482,Rocket
2025-05-07,ACI Salt,Groceries,79690.51,12659.78,14,3.6,1,252,Nagad
2025-01-22,Pran Noodles,Groceries,10406.76,1623.02,1,4.7,1,84,Rocket
2024-08-18,Walton Fridge,Electronics,147588.67,47511.74,12,4.0,0,210,Mastercard
2025-03-02,Sunsilk Shampoo,Personal Care,142850.94,12254.88,12,3.0,0,234,bKash
2025-04-10,Akij Cement,Construction,70042.99,24347.22,17,2.9,0,233,Nagad
2024-12-09,Square Toiletries Lotion,Personal Care,85971.06,8498.26,11,3.6,0,199,Rocket
2025-01-09,Sunsilk Shampoo,Personal Care,75023.7,17583.24,12,4.1,0,124,Cash
2024-04-25,Square Toiletries Lotion,Personal Care,224582.08,75040.58,18,4.3,1,44,bKash
2024-02-01,Teer Atta,Groceries,143909.87,24535.18,13,4.7,1,135,Rocket
2024-07-30,Olympic Biscuit,Snacks,66088.38,10640.43,20,3.0,0,170,Nagad
2024-05-02,Fresh Milk,Dairy,146182.81,36269.02,14,4.3,0,385,Mastercard
2024-05-04,Akij Cement,Construction,86242.74,25303.54,14,3.5,1,294,Rocket
2025-05-01,ACI Salt,Groceries,15274.72,3468.22,7,3.1,0,48,Cash
2024-08-20,Sunsilk Shampoo,Personal Care,94947.47,8403.18,19,3.3,0,480,Rocket
2024-07-18,Lux Soap,Personal Care,8583.5,1181.57,1,4.7,0,117,Cash
2024-08-09,Lux Soap,Personal Care,57568.22,7841.23,5,3.6,0,211,Visa Card
2025-05-12,Walton Fridge,Electronics,82814.49,7334.15,13,3.2,0,466,Visa Card
2024-09-22,Sunsilk Shampoo,Personal Care,149540.81,28339.99,17,4.8,0,202,Cash
2024-08-17,Teer Atta,Groceries,115626.66,20047.88,11,3.4,0,102,Cash
2024-12-04,ACI Salt,Groceries,31042.72,10828.14,14,4.2,0,285,Cash
2024-10-02,Bashundhara Tissue,Household,136070.61,46044.95,19,3.7,0,380,Mastercard
2025-01-03,Singer Rice Cooker,Electronics,239533.25,78646.13,17,4.3,1,155,Rocket
2025-05-12,Walton Fan,Electronics,37637.37,9216.91,5,2.5,0,449,Rocket
2024-12-17,Fresh Soybean Oil,Groceries,72095.0,24487.53,9,4.2,0,164,Visa Card
2024-04-30,Minister Blender,Electronics,50205.96,10414.84,14,4.2,0,18,Visa Card
2024-11-24,Easy Fashion Shirt,Fashion,86940.82,13488.95,7,4.2,0,13,Nagad
2024-04-06,Navana Helmet,Automotive,3693.63,306.82,11,4.2,0,363,Cash
2024-01-09,Pran Noodles,Groceries,30422.89,3540.29,7,4.9,0,389,Visa Card
2025-01-07,Akij Cement,Construction,155992.97,18685.05,17,4.4,0,426,Nagad
2025-04-16,Teer Atta,Groceries,13390.08,4204.16,1,3.8,0,408,bKash
2024-01-26,Bashundhara Tissue,Household,73571.97,6610.98,19,4.6,0,411,Nagad
2025-02-11,RFL Chair,Furniture,5199.98,1749.43,2,4.6,1,13,Nagad
2024-10-27,Dettol Handwash,Personal Care,41292.85,6512.88,14,3.8,0,231,bKash
2025-02-14,Olympic Biscuit,Snacks,13922.18,2681.23,8,4.5,1,395,Mastercard
2024-09-26,Bombay Sweets Chanachur,Snacks,50234.45,4267.87,8,4.3,0,215,Mastercard
2024-04-29,Dettol Handwash,Personal Care,127403.42,27203.47,13,4.9,0,421,Mastercard
2025-05-11,Teer Atta,Groceries,64895.32,20438.37,9,2.7,0,392,bKash
2024-07-21,Navana Helmet,Automotive,28964.82,3227.29,4,3.2,1,87,Rocket
2025-03-26,Akij Cement,Construction,62014.28,14590.69,9,3.0,0,436,Cash
2024-06-28,ACI Salt,Groceries,12449.77,3491.08,3,3.0,1,25,bKash
2025-01-20,Fresh Soybean Oil,Groceries,94949.74,17327.68,13,4.3,0,320,Visa Card
2025-04-30,Easy Fashion Shirt,Fashion,241257.43,80077.8,18,3.0,1,271,Nagad
2025-02-18,RFL Chair,Furniture,254518.69,49481.96,17,4.4,0,381,Cash
2025-02-23,Sunsilk Shampoo,Personal Care,4014.44,858.41,17,3.5,0,314,Cash
2025-05-13,Easy Fashion Shirt,Fashion,84878.61,12529.89,7,4.4,1,158,Visa Card
2024-12-20,Minister Blender,Electronics,119004.54,28379.34,18,3.3,0,198,Visa Card
2024-03-14,Bata School Shoe,Fashion,91079.52,28685.95,15,3.2,1,367,Cash
2024-10-20,Pran Mango Juice,Beverages,4951.63,923.88,11,4.9,0,305,Cash
2024-11-12,Dettol Handwash,Personal Care,86152.51,25958.46,6,4.8,0,172,Mastercard
2024-08-11,Easy Fashion Shirt,Fashion,202527.56,19444.23,20,4.6,0,290,bKash
2024-05-31,Lux Soap,Personal Care,41616.05,7604.47,5,2.7,0,321,Rocket
2024-08-06,Bombay Sweets Chanachur,Snacks,25271.11,7564.86,7,5.0,0,388,Mastercard
2024-10-07,Olympic Biscuit,Snacks,49120.82,8215.16,6,3.6,0,387,Cash
2024-05-02,Fresh Milk,Dairy,97770.33,23330.24,11,3.1,0,477,Mastercard
2024-08-04,Bombay Sweets Chanachur,Snacks,63166.41,19341.95,7,2.9,0,122,Rocket
2024-02-09,RFL Chair,Furniture,67440.19,20045.75,14,4.3,0,22,bKash
2024-12-09,Singer Rice Cooker,Electronics,40333.72,4788.17,9,3.4,0,102,Visa Card
2025-02-17,Akij Cement,Construction,154215.89,24964.04,12,4.0,0,336,Visa Card
2025-05-14,Fresh Soybean Oil,Groceries,27263.6,6072.41,3,3.0,0,153,Visa Card
2024-12-16,Kazi Farms Chicken,Frozen Food,195480.65,39847.5,16,3.9,0,380,Rocket
