```csv
2025-02-22,Samsung Galaxy Buds FE,Mobile Accessories,8500,1800,1,4.7,No,18,bKash,Dhaka
2025-02-23,Fresh Beef 1kg,Food,850,180,2,4.3,No,60,Cash on Delivery,Khulna
2025-02-24,Navana Gas Stove Double Burner,Home & Kitchen,4800,1200,1,4.4,No,14,Rocket,Sylhet
2025-02-25,Xiaomi Smart Watch,Electronics,4200,950,1,4.2,No,27,bKash,Dhaka
2025-02-26,Apex Formal Shoes,Fashion,3200,850,1,4.5,No,18,Nagad,Rajshahi
2025-02-27,Pran Tomato Sauce 550g,Groceries,180,45,4,4.1,No,210,Cash on Delivery,Barisal
2025-02-28,Sharp Microwave Oven,Electronics,13500,3200,1,4.6,No,11,Credit Card,Dhaka
2025-03-01,Rupchanda Fish Curry Masala,Groceries,65,15,7,4.0,No,500,bKash,Chittagong
2025-03-02,Marcel Air Conditioner 1.5 Ton,Electronics,52000,12000,1,4.8,No,6,Credit Card,Dhaka
2025-03-03,Tresemme Keratin Shampoo,Beauty,780,210,2,4.3,No,85,Nagad,Sylhet
2025-03-04,Leather Handbag Womens,Fashion,2600,700,1,4.2,No,25,bKash,Dhaka
2025-03-05,Fresh Bread Large,Food,60,12,5,3.8,No,300,Rocket,Rangpur
2025-03-06,HP Pavilion Laptop,Electronics,78000,14500,1,4.7,No,7,Credit Card,Dhaka
2025-03-07,Fresh Yogurt Cup,Food,40,8,8,4.1,No,350,Cash on Delivery,Khulna
2025-03-08,Parachute Coconut Oil 500ml,Beauty,240,65,3,4.0,No,180,bKash,Barisal
2025-03-09,Easy Polo T-Shirt,Fashion,1350,380,1,4.2,No,45,Nagad,Dhaka
2025-03-10,Walton Rice Cooker 2L,Home & Kitchen,2800,700,1,4.3,No,22,Rocket,Cumilla
2025-03-11,Fresh Orange Juice 1L,Beverages,180,40,4,4.1,No,190,bKash,Dhaka
2025-03-12,Dell Inspiron 15,Electronics,72000,13800,1,4.5,No,8,Credit Card,Sylhet
2025-03-13,ACI Atta 2kg,Groceries,130,28,5,4.0,No,310,Nagad,Khulna
2025-03-14,Nike Running Shoes,Fashion,5500,1500,1,4.7,No,12,bKash,Dhaka
2025-03-15,Fresh Milk 1L,Food,95,18,6,4.2,No,250,Rocket,Rajshahi
2025-03-16,Walton Fan 16 Inch,Home & Kitchen,3200,850,1,4.4,No,19,Cash on Delivery,Barisal
2025-03-17,Realme Narzo 60x,Electronics,18500,4500,1,4.5,No,16,bKash,Dhaka
2025-03-18,Closeup Toothpaste 190g,Beauty,140,35,5,4.1,No,400,Nagad,Rangpur
2025-03-19,Pran Noodles Pack,Food,35,7,10,3.9,No,700,bKash,Chittagong
2025-03-20,HP Wireless Keyboard,Electronics,2200,580,1,4.3,No,40,Rocket,Dhaka
2025-03-21,Leather Belt Mens,Fashion,850,220,2,4.0,No,75,Cash on Delivery,Sylhet
2025-03-22,Fresh Bananas 1 Dozen,Food,120,28,4,4.1,No,140,bKash,Khulna
2025-03-23,Walton Washing Machine,Electronics,28500,6800,1,4.6,No,9,Credit Card,Dhaka
2025-03-24,Dettol Soap Pack,Beauty,220,60,3,4.2,No,230,Nagad,Cumilla
2025-03-25,Teer Sugar 1kg,Groceries,125,25,5,4.0,No,420,Rocket,Rajshahi
2025-03-26,Apex Sandals,Fashion,1800,500,1,4.3,No,32,bKash,Barisal
2025-03-27,Fresh Apple Imported 1kg,Food,420,95,2,4.4,No,60,Cash on Delivery,Dhaka
2025-03-28,Xiaomi Redmi 13C,Electronics,16500,3900,1,4.2,No,20,bKash,Sylhet
2025-03-29,Lifebuoy Hand Wash,Beauty,180,45,4,4.1,No,260,Nagad,Rangpur
2025-03-30,RFL Dinner Set 32pcs,Home & Kitchen,3800,950,1,4.5,No,17,Rocket,Dhaka
```
